,year,state,month,number
3172,2002,Pará,Abril,11
3173,2003,Pará,Abril,14
3174,2004,Pará,Abril,23
3175,2005,Pará,Abril,14
3176,2006,Pará,Abril,2
3177,2007,Pará,Abril,0
3178,2008,Pará,Abril,7
3179,2009,Pará,Abril,8
3180,2010,Pará,Abril,22
3181,2011,Pará,Abril,10
3182,2012,Pará,Abril,11
3183,2013,Pará,Abril,20
3184,2014,Pará,Abril,27
3185,2015,Pará,Abril,27
3186,2016,Pará,Abril,66
3187,2017,Pará,Abril,45
3188,1998,Pará,Maio,0
3189,1999,Pará,Maio,4
3190,2000,Pará,Maio,12
3191,2001,Pará,Maio,7
3192,2002,Pará,Maio,18
3193,2003,Pará,Maio,3
3194,2004,Pará,Maio,44
3195,2005,Pará,Maio,37
3196,2006,Pará,Maio,0
3197,2007,Pará,Maio,9
3198,2008,Pará,Maio,0
3199,2009,Pará,Maio,7
3200,2010,Pará,Maio,57
3201,2011,Pará,Maio,16
3202,2012,Pará,Maio,59
3203,2013,Pará,Maio,42
3204,2014,Pará,Maio,70
3205,2015,Pará,Maio,95
3206,2016,Pará,Maio,154
3207,2017,Pará,Maio,114
3208,1998,Pará,Junho,58
3209,1999,Pará,Junho,37
3210,2000,Pará,Junho,59
3211,2001,Pará,Junho,42
3212,2002,Pará,Junho,149
3213,2003,Pará,Junho,64
3214,2004,Pará,Junho,340
3215,2005,Pará,Junho,304
3216,2006,Pará,Junho,78
3217,2007,Pará,Junho,129
3218,2008,Pará,Junho,48
3219,2009,Pará,Junho,38
3220,2010,Pará,Junho,94
3221,2011,Pará,Junho,105
3222,2012,Pará,Junho,183
3223,2013,Pará,Junho,173
3224,2014,Pará,Junho,319
3225,2015,Pará,Junho,265
3226,2016,Pará,Junho,502
3227,2017,Pará,Junho,679
3228,1998,Pará,Julho,638
3229,1999,Pará,Julho,982
3230,2000,Pará,Julho,426
3231,2001,Pará,Julho,708
3232,2002,Pará,Julho,772
3233,2003,Pará,Julho,1.571
3234,2004,Pará,Julho,4.436
3235,2005,Pará,Julho,4.364
3236,2006,Pará,Julho,615
3237,2007,Pará,Julho,476
3238,2008,Pará,Julho,971
3239,2009,Pará,Julho,397
3240,2010,Pará,Julho,1.432
3241,2011,Pará,Julho,632
3242,2012,Pará,Julho,661
3243,2013,Pará,Julho,447
3244,2014,Pará,Julho,825
3245,2015,Pará,Julho,906
3246,2016,Pará,Julho,1.579
3247,2017,Pará,Julho,4.985
3248,1998,Pará,Agosto,6.815
3249,1999,Pará,Agosto,6.178
3250,2000,Pará,Agosto,5.484
3251,2001,Pará,Agosto,9.043
3252,2002,Pará,Agosto,15.664
3253,2003,Pará,Agosto,6.255
3254,2004,Pará,Agosto,12.812
3255,2005,Pará,Agosto,13.055
3256,2006,Pará,Agosto,7.575
3257,2007,Pará,Agosto,14.352
3258,2008,Pará,Agosto,4.435
3259,2009,Pará,Agosto,3.859
3260,2010,Pará,Agosto,18.13
3261,2011,Pará,Agosto,2.195
3262,2012,Pará,Agosto,6.964
3263,2013,Pará,Agosto,2.161
3264,2014,Pará,Agosto,8.555
3265,2015,Pará,Agosto,7.913
3266,2016,Pará,Agosto,4.863
3267,2017,Pará,Agosto,11.962
3268,1998,Pará,Setembro,6.237
3269,1999,Pará,Setembro,4.419
3270,2000,Pará,Setembro,2.569
3271,2001,Pará,Setembro,6.139
3272,2002,Pará,Setembro,5.609
3273,2003,Pará,Setembro,8.447
3274,2004,Pará,Setembro,9.471
3275,2005,Pará,Setembro,9.032
3276,2006,Pará,Setembro,8.372
3277,2007,Pará,Setembro,14.59
3278,2008,Pará,Setembro,6.294
3279,2009,Pará,Setembro,6.051
3280,2010,Pará,Setembro,10.81
3281,2011,Pará,Setembro,5.185
3282,2012,Pará,Setembro,6.87
3283,2013,Pará,Setembro,3.36
3284,2014,Pará,Setembro,6.787
3285,2015,Pará,Setembro,11.068
3286,2016,Pará,Setembro,3.953
3287,2017,Pará,Setembro,25.004
3288,1998,Pará,Outubro,3.665
3289,1999,Pará,Outubro,5.026
3290,2000,Pará,Outubro,4.313
3291,2001,Pará,Outubro,5.096
3292,2002,Pará,Outubro,5.189
3293,2003,Pará,Outubro,3.803
3294,2004,Pará,Outubro,4.726
3295,2005,Pará,Outubro,5.083
3296,2006,Pará,Outubro,5.964
3297,2007,Pará,Outubro,2.504
3298,2008,Pará,Outubro,6.653
3299,2009,Pará,Outubro,6.342
3300,2010,Pará,Outubro,3.843
3301,2011,Pará,Outubro,3.141
3302,2012,Pará,Outubro,3.714
3303,2013,Pará,Outubro,4.921
3304,2014,Pará,Outubro,6.448
3305,2015,Pará,Outubro,7.781
3306,2016,Pará,Outubro,5.281
3307,2017,Pará,Outubro,7.628
3308,1998,Pará,Novembro,1.861
3309,1999,Pará,Novembro,2.682
3310,2000,Pará,Novembro,3.366
3311,2001,Pará,Novembro,4.938
3312,2002,Pará,Novembro,7.996
3313,2003,Pará,Novembro,6.195
3314,2004,Pará,Novembro,9.842
3315,2005,Pará,Novembro,4.968
3316,2006,Pará,Novembro,2.883
3317,2007,Pará,Novembro,2.89
3318,2008,Pará,Novembro,2.403
3319,2009,Pará,Novembro,10.012
3320,2010,Pará,Novembro,4.417
3321,2011,Pará,Novembro,3.043
3322,2012,Pará,Novembro,6.156
3323,2013,Pará,Novembro,3.688
3324,2014,Pará,Novembro,7.767
3325,2015,Pará,Novembro,9.643
3326,2016,Pará,Novembro,7.879
3327,2017,Pará,Novembro,9.079
3328,1998,Pará,Dezembro,1.008
3329,1999,Pará,Dezembro,766
3330,2000,Pará,Dezembro,1.698
3331,2001,Pará,Dezembro,2.564
3332,2002,Pará,Dezembro,3.118
3333,2003,Pará,Dezembro,4.787
3334,2004,Pará,Dezembro,5.508
3335,2005,Pará,Dezembro,1.495
3336,2006,Pará,Dezembro,1.417
3337,2007,Pará,Dezembro,689
3338,2008,Pará,Dezembro,684
3339,2009,Pará,Dezembro,2.832
3340,2010,Pará,Dezembro,1.612
3341,2011,Pará,Dezembro,3.218
3342,2012,Pará,Dezembro,1.812
3343,2013,Pará,Dezembro,5.514
3344,2014,Pará,Dezembro,4.828
3345,2015,Pará,Dezembro,6.61
3346,2016,Pará,Dezembro,3.3
3347,1998,Paraíba,Janeiro,0
3348,1999,Paraíba,Janeiro,26
3349,2000,Paraíba,Janeiro,0
3350,2001,Paraíba,Janeiro,11
3351,2002,Paraíba,Janeiro,5
3352,2003,Paraíba,Janeiro,70
3353,2004,Paraíba,Janeiro,33
3354,2005,Paraíba,Janeiro,178
3355,2006,Paraíba,Janeiro,83
3356,2007,Paraíba,Janeiro,69
3357,2008,Paraíba,Janeiro,77
3358,2009,Paraíba,Janeiro,115
3359,2010,Paraíba,Janeiro,46
3360,2011,Paraíba,Janeiro,11
3361,2012,Paraíba,Janeiro,61
3362,2013,Paraíba,Janeiro,38
3363,2014,Paraíba,Janeiro,75
3364,2015,Paraíba,Janeiro,42
3365,2016,Paraíba,Janeiro,18
3366,2017,Paraíba,Janeiro,23
3367,1998,Paraíba,Fevereiro,0
3368,1999,Paraíba,Fevereiro,2
3369,2000,Paraíba,Fevereiro,11
3370,2001,Paraíba,Fevereiro,6
3371,2002,Paraíba,Fevereiro,18
3372,2003,Paraíba,Fevereiro,3
3373,2004,Paraíba,Fevereiro,3
3374,2005,Paraíba,Fevereiro,15
3375,2006,Paraíba,Fevereiro,7
3376,2007,Paraíba,Fevereiro,7
3377,2008,Paraíba,Fevereiro,20
3378,2009,Paraíba,Fevereiro,9
3379,2010,Paraíba,Fevereiro,15
3380,2011,Paraíba,Fevereiro,5
3381,2012,Paraíba,Fevereiro,15
3382,2013,Paraíba,Fevereiro,9
3383,2014,Paraíba,Fevereiro,6
3384,2015,Paraíba,Fevereiro,15
3385,2016,Paraíba,Fevereiro,4
3386,2017,Paraíba,Fevereiro,8
3387,1998,Paraíba,Março,0
3388,1999,Paraíba,Março,1
3389,2000,Paraíba,Março,5
3390,2001,Paraíba,Março,0
3391,2002,Paraíba,Março,3
3392,2003,Paraíba,Março,0
3393,2004,Paraíba,Março,3
3394,2005,Paraíba,Março,13
3395,2006,Paraíba,Março,4
3396,2007,Paraíba,Março,1
3397,2008,Paraíba,Março,8
3398,2009,Paraíba,Março,2
3399,2010,Paraíba,Março,16
3400,2011,Paraíba,Março,6
3401,2012,Paraíba,Março,4
3402,2013,Paraíba,Março,3
3403,2014,Paraíba,Março,18
3404,2015,Paraíba,Março,7
3405,2016,Paraíba,Março,1
3406,2017,Paraíba,Março,2
3407,1998,Paraíba,Abril,0
3408,1999,Paraíba,Abril,3
3409,2000,Paraíba,Abril,1
3410,2001,Paraíba,Abril,0
3411,2002,Paraíba,Abril,1
3412,2003,Paraíba,Abril,0
3413,2004,Paraíba,Abril,3
3414,2005,Paraíba,Abril,2
3415,2006,Paraíba,Abril,0
3416,2007,Paraíba,Abril,0
3417,2008,Paraíba,Abril,0
3418,2009,Paraíba,Abril,1
3419,2010,Paraíba,Abril,2
3420,2011,Paraíba,Abril,2
3421,2012,Paraíba,Abril,13
3422,2013,Paraíba,Abril,6
3423,2014,Paraíba,Abril,8
3424,2015,Paraíba,Abril,11
3425,2016,Paraíba,Abril,1
3426,2017,Paraíba,Abril,1
3427,1998,Paraíba,Maio,0
3428,1999,Paraíba,Maio,0
3429,2000,Paraíba,Maio,0
3430,2001,Paraíba,Maio,4
3431,2002,Paraíba,Maio,1
3432,2003,Paraíba,Maio,0
3433,2004,Paraíba,Maio,1
3434,2005,Paraíba,Maio,0
3435,2006,Paraíba,Maio,0
3436,2007,Paraíba,Maio,0
3437,2008,Paraíba,Maio,0
3438,2009,Paraíba,Maio,0
3439,2010,Paraíba,Maio,10
3440,2011,Paraíba,Maio,0
3441,2012,Paraíba,Maio,10
3442,2013,Paraíba,Maio,3
3443,2014,Paraíba,Maio,1
3444,2015,Paraíba,Maio,6
3445,2016,Paraíba,Maio,1
3446,2017,Paraíba,Maio,1
3447,1998,Paraíba,Junho,3
3448,1999,Paraíba,Junho,1
3449,2000,Paraíba,Junho,2
3450,2001,Paraíba,Junho,0
3451,2002,Paraíba,Junho,1
3452,2003,Paraíba,Junho,0
3453,2004,Paraíba,Junho,0
3454,2005,Paraíba,Junho,0
3455,2006,Paraíba,Junho,0
3456,2007,Paraíba,Junho,0
3457,2008,Paraíba,Junho,0
3458,2009,Paraíba,Junho,0
3459,2010,Paraíba,Junho,3
3460,2011,Paraíba,Junho,2
3461,2012,Paraíba,Junho,5
3462,2013,Paraíba,Junho,3
3463,2014,Paraíba,Junho,1
3464,2015,Paraíba,Junho,0
3465,2016,Paraíba,Junho,4
3466,2017,Paraíba,Junho,0
3467,1998,Paraíba,Julho,0
3468,1999,Paraíba,Julho,1
3469,2000,Paraíba,Julho,0
3470,2001,Paraíba,Julho,8
3471,2002,Paraíba,Julho,8
3472,2003,Paraíba,Julho,6
3473,2004,Paraíba,Julho,1
3474,2005,Paraíba,Julho,0
3475,2006,Paraíba,Julho,1
3476,2007,Paraíba,Julho,1
3477,2008,Paraíba,Julho,0
3478,2009,Paraíba,Julho,3
3479,2010,Paraíba,Julho,7
3480,2011,Paraíba,Julho,6
3481,2012,Paraíba,Julho,5
3482,2013,Paraíba,Julho,1
3483,2014,Paraíba,Julho,9
3484,2015,Paraíba,Julho,3
3485,2016,Paraíba,Julho,22
3486,2017,Paraíba,Julho,2
3487,1998,Paraíba,Agosto,3
3488,1999,Paraíba,Agosto,4
3489,2000,Paraíba,Agosto,7
3490,2001,Paraíba,Agosto,34
3491,2002,Paraíba,Agosto,38
3492,2003,Paraíba,Agosto,14
3493,2004,Paraíba,Agosto,18
3494,2005,Paraíba,Agosto,0
3495,2006,Paraíba,Agosto,3
3496,2007,Paraíba,Agosto,8
3497,2008,Paraíba,Agosto,1
3498,2009,Paraíba,Agosto,4
3499,2010,Paraíba,Agosto,9
3500,2011,Paraíba,Agosto,12
3501,2012,Paraíba,Agosto,13
3502,2013,Paraíba,Agosto,3
3503,2014,Paraíba,Agosto,30
3504,2015,Paraíba,Agosto,5
3505,2016,Paraíba,Agosto,50
3506,2017,Paraíba,Agosto,3
3507,1998,Paraíba,Setembro,50
3508,1999,Paraíba,Setembro,14
3509,2000,Paraíba,Setembro,9
3510,2001,Paraíba,Setembro,98
3511,2002,Paraíba,Setembro,63
3512,2003,Paraíba,Setembro,81
3513,2004,Paraíba,Setembro,34
3514,2005,Paraíba,Setembro,13
3515,2006,Paraíba,Setembro,27
3516,2007,Paraíba,Setembro,22
3517,2008,Paraíba,Setembro,21
3518,2009,Paraíba,Setembro,28
3519,2010,Paraíba,Setembro,37
3520,2011,Paraíba,Setembro,55
3521,2012,Paraíba,Setembro,71
3522,2013,Paraíba,Setembro,25
3523,2014,Paraíba,Setembro,51
3524,2015,Paraíba,Setembro,48
3525,2016,Paraíba,Setembro,131
3526,2017,Paraíba,Setembro,30
3527,1998,Paraíba,Outubro,179
3528,1999,Paraíba,Outubro,48
3529,2000,Paraíba,Outubro,125
3530,2001,Paraíba,Outubro,279
3531,2002,Paraíba,Outubro,193
3532,2003,Paraíba,Outubro,381
3533,2004,Paraíba,Outubro,190
3534,2005,Paraíba,Outubro,155
3535,2006,Paraíba,Outubro,135
3536,2007,Paraíba,Outubro,111
3537,2008,Paraíba,Outubro,80
3538,2009,Paraíba,Outubro,117
3539,2010,Paraíba,Outubro,150
3540,2011,Paraíba,Outubro,200
3541,2012,Paraíba,Outubro,136
3542,2013,Paraíba,Outubro,58
3543,2014,Paraíba,Outubro,70
3544,2015,Paraíba,Outubro,121
3545,2016,Paraíba,Outubro,304
3546,2017,Paraíba,Outubro,123
3547,1998,Paraíba,Novembro,46
3548,1999,Paraíba,Novembro,38
3549,2000,Paraíba,Novembro,65
3550,2001,Paraíba,Novembro,294
3551,2002,Paraíba,Novembro,238
3552,2003,Paraíba,Novembro,538
3553,2004,Paraíba,Novembro,331
3554,2005,Paraíba,Novembro,280
3555,2006,Paraíba,Novembro,215
3556,2007,Paraíba,Novembro,256
3557,2008,Paraíba,Novembro,175
3558,2009,Paraíba,Novembro,428
3559,2010,Paraíba,Novembro,451
3560,2011,Paraíba,Novembro,359
3561,2012,Paraíba,Novembro,130
3562,2013,Paraíba,Novembro,95
3563,2014,Paraíba,Novembro,111
3564,2015,Paraíba,Novembro,206
3565,2016,Paraíba,Novembro,132
3566,2017,Paraíba,Novembro,101
3567,1998,Paraíba,Dezembro,51
3568,1999,Paraíba,Dezembro,40
3569,2000,Paraíba,Dezembro,34
3570,2001,Paraíba,Dezembro,70
3571,2002,Paraíba,Dezembro,163
3572,2003,Paraíba,Dezembro,288
3573,2004,Paraíba,Dezembro,351
3574,2005,Paraíba,Dezembro,159
3575,2006,Paraíba,Dezembro,196
3576,2007,Paraíba,Dezembro,133
3577,2008,Paraíba,Dezembro,187
3578,2009,Paraíba,Dezembro,270
3579,2010,Paraíba,Dezembro,65
3580,2011,Paraíba,Dezembro,179
3581,2012,Paraíba,Dezembro,62
3582,2013,Paraíba,Dezembro,78
3583,2014,Paraíba,Dezembro,62
3584,2015,Paraíba,Dezembro,122
3585,2016,Paraíba,Dezembro,8
3586,1998,Paraná,Janeiro,0
3587,1999,Paraná,Janeiro,7
3588,2000,Paraná,Janeiro,49
3589,2001,Paraná,Janeiro,32
3590,2002,Paraná,Janeiro,47
3591,2003,Paraná,Janeiro,109
3592,2004,Paraná,Janeiro,88
3593,2005,Paraná,Janeiro,55
3594,2006,Paraná,Janeiro,78
3595,2007,Paraná,Janeiro,11
3596,2008,Paraná,Janeiro,35
3597,2009,Paraná,Janeiro,35
3598,2010,Paraná,Janeiro,18
3599,2011,Paraná,Janeiro,35
3600,2012,Paraná,Janeiro,31
3601,2013,Paraná,Janeiro,28
3602,2014,Paraná,Janeiro,86
3603,2015,Paraná,Janeiro,120
3604,2016,Paraná,Janeiro,113
3605,2017,Paraná,Janeiro,55
3606,1998,Paraná,Fevereiro,0
3607,1999,Paraná,Fevereiro,22
3608,2000,Paraná,Fevereiro,67
3609,2001,Paraná,Fevereiro,8
3610,2002,Paraná,Fevereiro,24
3611,2003,Paraná,Fevereiro,46
3612,2004,Paraná,Fevereiro,42
3613,2005,Paraná,Fevereiro,77
3614,2006,Paraná,Fevereiro,60
3615,2007,Paraná,Fevereiro,32
3616,2008,Paraná,Fevereiro,38
3617,2009,Paraná,Fevereiro,21
3618,2010,Paraná,Fevereiro,46
3619,2011,Paraná,Fevereiro,8
3620,2012,Paraná,Fevereiro,40
3621,2013,Paraná,Fevereiro,9
3622,2014,Paraná,Fevereiro,52
3623,2015,Paraná,Fevereiro,58
3624,2016,Paraná,Fevereiro,31
3625,2017,Paraná,Fevereiro,60
3626,1998,Paraná,Março,0
3627,1999,Paraná,Março,40
3628,2000,Paraná,Março,52
3629,2001,Paraná,Março,12
3630,2002,Paraná,Março,18
3631,2003,Paraná,Março,76
3632,2004,Paraná,Março,83
3633,2005,Paraná,Março,84
3634,2006,Paraná,Março,56
3635,2007,Paraná,Março,54
3636,2008,Paraná,Março,43
3637,2009,Paraná,Março,57
3638,2010,Paraná,Março,22
3639,2011,Paraná,Março,21
3640,2012,Paraná,Março,55
3641,2013,Paraná,Março,18
3642,2014,Paraná,Março,42
3643,2015,Paraná,Março,55
3644,2016,Paraná,Março,63
3645,2017,Paraná,Março,43
3646,1998,Paraná,Abril,0
3647,1999,Paraná,Abril,39
3648,2000,Paraná,Abril,51
3649,2001,Paraná,Abril,43
3650,2002,Paraná,Abril,84
3651,2003,Paraná,Abril,130
3652,2004,Paraná,Abril,68
3653,2005,Paraná,Abril,22
3654,2006,Paraná,Abril,49
3655,2007,Paraná,Abril,14
3656,2008,Paraná,Abril,62
3657,2009,Paraná,Abril,80
3658,2010,Paraná,Abril,71
3659,2011,Paraná,Abril,38
3660,2012,Paraná,Abril,38
3661,2013,Paraná,Abril,72
3662,2014,Paraná,Abril,38
3663,2015,Paraná,Abril,83
3664,2016,Paraná,Abril,167
3665,2017,Paraná,Abril,77
3666,1998,Paraná,Maio,0
3667,1999,Paraná,Maio,57
3668,2000,Paraná,Maio,43
3669,2001,Paraná,Maio,26
3670,2002,Paraná,Maio,65
3671,2003,Paraná,Maio,115
3672,2004,Paraná,Maio,9
3673,2005,Paraná,Maio,125
3674,2006,Paraná,Maio,90
3675,2007,Paraná,Maio,14
3676,2008,Paraná,Maio,41
3677,2009,Paraná,Maio,117
3678,2010,Paraná,Maio,39
3679,2011,Paraná,Maio,97
3680,2012,Paraná,Maio,86
3681,2013,Paraná,Maio,85
3682,2014,Paraná,Maio,109
3683,2015,Paraná,Maio,77
3684,2016,Paraná,Maio,72
3685,2017,Paraná,Maio,49
3686,1998,Paraná,Junho,36
3687,1999,Paraná,Junho,31
3688,2000,Paraná,Junho,53
3689,2001,Paraná,Junho,43
3690,2002,Paraná,Junho,115
3691,2003,Paraná,Junho,159
3692,2004,Paraná,Junho,147
3693,2005,Paraná,Junho,114
3694,2006,Paraná,Junho,62
3695,2007,Paraná,Junho,57
3696,2008,Paraná,Junho,17
3697,2009,Paraná,Junho,105
3698,2010,Paraná,Junho,55
3699,2011,Paraná,Junho,162
3700,2012,Paraná,Junho,77
3701,2013,Paraná,Junho,52
3702,2014,Paraná,Junho,112
3703,2015,Paraná,Junho,201
3704,2016,Paraná,Junho,238
3705,2017,Paraná,Junho,169
3706,1998,Paraná,Julho,59
3707,1999,Paraná,Julho,94
3708,2000,Paraná,Julho,98
3709,2001,Paraná,Julho,122
3710,2002,Paraná,Julho,172
3711,2003,Paraná,Julho,101
3712,2004,Paraná,Julho,148
3713,2005,Paraná,Julho,155
3714,2006,Paraná,Julho,139
3715,2007,Paraná,Julho,60
3716,2008,Paraná,Julho,87
3717,2009,Paraná,Julho,34
3718,2010,Paraná,Julho,196
3719,2011,Paraná,Julho,262
3720,2012,Paraná,Julho,111
3721,2013,Paraná,Julho,168
3722,2014,Paraná,Julho,215
3723,2015,Paraná,Julho,137
3724,2016,Paraná,Julho,504
3725,2017,Paraná,Julho,891
3726,1998,Paraná,Agosto,42
3727,1999,Paraná,Agosto,938
3728,2000,Paraná,Agosto,849
3729,2001,Paraná,Agosto,342
3730,2002,Paraná,Agosto,1.593
3731,2003,Paraná,Agosto,1.896
3732,2004,Paraná,Agosto,1.237
3733,2005,Paraná,Agosto,800
3734,2006,Paraná,Agosto,844
3735,2007,Paraná,Agosto,580
3736,2008,Paraná,Agosto,205
3737,2009,Paraná,Agosto,844
3738,2010,Paraná,Agosto,733
3739,2011,Paraná,Agosto,435
3740,2012,Paraná,Agosto,522
3741,2013,Paraná,Agosto,481
3742,2014,Paraná,Agosto,646
3743,2015,Paraná,Agosto,651
3744,2016,Paraná,Agosto,1.01
3745,2017,Paraná,Agosto,987
3746,1998,Paraná,Setembro,61
3747,1999,Paraná,Setembro,878
3748,2000,Paraná,Setembro,381
3749,2001,Paraná,Setembro,258
3750,2002,Paraná,Setembro,1.071
3751,2003,Paraná,Setembro,2.446
3752,2004,Paraná,Setembro,1.36
3753,2005,Paraná,Setembro,386
3754,2006,Paraná,Setembro,866
3755,2007,Paraná,Setembro,960
3756,2008,Paraná,Setembro,413
3757,2009,Paraná,Setembro,149
3758,2010,Paraná,Setembro,270
3759,2011,Paraná,Setembro,913
3760,2012,Paraná,Setembro,459
3761,2013,Paraná,Setembro,476
3762,2014,Paraná,Setembro,443
3763,2015,Paraná,Setembro,599
3764,2016,Paraná,Setembro,1.371
3765,2017,Paraná,Setembro,1.706
3766,1998,Paraná,Outubro,61
3767,1999,Paraná,Outubro,452
3768,2000,Paraná,Outubro,658
3769,2001,Paraná,Outubro,209
3770,2002,Paraná,Outubro,399
3771,2003,Paraná,Outubro,1.228
3772,2004,Paraná,Outubro,666
3773,2005,Paraná,Outubro,157
3774,2006,Paraná,Outubro,327
3775,2007,Paraná,Outubro,194
3776,2008,Paraná,Outubro,78
3777,2009,Paraná,Outubro,424
3778,2010,Paraná,Outubro,230
3779,2011,Paraná,Outubro,256
3780,2012,Paraná,Outubro,145
3781,2013,Paraná,Outubro,233
3782,2014,Paraná,Outubro,411
3783,2015,Paraná,Outubro,158
3784,2016,Paraná,Outubro,193
3785,2017,Paraná,Outubro,134
3786,1998,Paraná,Novembro,143
3787,1999,Paraná,Novembro,447
3788,2000,Paraná,Novembro,85
3789,2001,Paraná,Novembro,89
3790,2002,Paraná,Novembro,425
3791,2003,Paraná,Novembro,503
3792,2004,Paraná,Novembro,388
3793,2005,Paraná,Novembro,597
3794,2006,Paraná,Novembro,60
3795,2007,Paraná,Novembro,59
3796,2008,Paraná,Novembro,39
3797,2009,Paraná,Novembro,90
3798,2010,Paraná,Novembro,183
3799,2011,Paraná,Novembro,138
3800,2012,Paraná,Novembro,142
3801,2013,Paraná,Novembro,126
3802,2014,Paraná,Novembro,68
3803,2015,Paraná,Novembro,18
3804,2016,Paraná,Novembro,275
3805,2017,Paraná,Novembro,292
3806,1998,Paraná,Dezembro,82
3807,1999,Paraná,Dezembro,254
3808,2000,Paraná,Dezembro,159
3809,2001,Paraná,Dezembro,85
3810,2002,Paraná,Dezembro,165
3811,2003,Paraná,Dezembro,171
3812,2004,Paraná,Dezembro,151
3813,2005,Paraná,Dezembro,40
3814,2006,Paraná,Dezembro,6
3815,2007,Paraná,Dezembro,22
3816,2008,Paraná,Dezembro,62
3817,2009,Paraná,Dezembro,30
3818,2010,Paraná,Dezembro,37
3819,2011,Paraná,Dezembro,78
3820,2012,Paraná,Dezembro,54
3821,2013,Paraná,Dezembro,155
3822,2014,Paraná,Dezembro,78
3823,2015,Paraná,Dezembro,30
3824,2016,Paraná,Dezembro,45
3825,1998,Pernambuco,Janeiro,0
3826,1999,Pernambuco,Janeiro,102
3827,2000,Pernambuco,Janeiro,3
3828,2001,Pernambuco,Janeiro,7
3829,2002,Pernambuco,Janeiro,10
3830,2003,Pernambuco,Janeiro,188
3831,2004,Pernambuco,Janeiro,29
3832,2005,Pernambuco,Janeiro,221
3833,2006,Pernambuco,Janeiro,148
3834,2007,Pernambuco,Janeiro,156
3835,2008,Pernambuco,Janeiro,170
3836,2009,Pernambuco,Janeiro,256
3837,2010,Pernambuco,Janeiro,47
3838,2011,Pernambuco,Janeiro,49
3839,2012,Pernambuco,Janeiro,146
3840,2013,Pernambuco,Janeiro,55
3841,2014,Pernambuco,Janeiro,99
3842,2015,Pernambuco,Janeiro,109
3843,2016,Pernambuco,Janeiro,24
3844,2017,Pernambuco,Janeiro,52
3845,1998,Pernambuco,Fevereiro,0
3846,1999,Pernambuco,Fevereiro,13
3847,2000,Pernambuco,Fevereiro,4
3848,2001,Pernambuco,Fevereiro,2
3849,2002,Pernambuco,Fevereiro,19
3850,2003,Pernambuco,Fevereiro,35
3851,2004,Pernambuco,Fevereiro,8
3852,2005,Pernambuco,Fevereiro,33
3853,2006,Pernambuco,Fevereiro,41
3854,2007,Pernambuco,Fevereiro,21
3855,2008,Pernambuco,Fevereiro,48
3856,2009,Pernambuco,Fevereiro,28
3857,2010,Pernambuco,Fevereiro,33
3858,2011,Pernambuco,Fevereiro,25
3859,2012,Pernambuco,Fevereiro,64
3860,2013,Pernambuco,Fevereiro,29
3861,2014,Pernambuco,Fevereiro,25
3862,2015,Pernambuco,Fevereiro,55
3863,2016,Pernambuco,Fevereiro,19
3864,2017,Pernambuco,Fevereiro,23
3865,1998,Pernambuco,Março,0
3866,1999,Pernambuco,Março,27
3867,2000,Pernambuco,Março,14
3868,2001,Pernambuco,Março,0
3869,2002,Pernambuco,Março,24
3870,2003,Pernambuco,Março,9
3871,2004,Pernambuco,Março,6
3872,2005,Pernambuco,Março,45
3873,2006,Pernambuco,Março,18
3874,2007,Pernambuco,Março,4
3875,2008,Pernambuco,Março,32
3876,2009,Pernambuco,Março,15
3877,2010,Pernambuco,Março,59
3878,2011,Pernambuco,Março,39
3879,2012,Pernambuco,Março,44
3880,2013,Pernambuco,Março,40
3881,2014,Pernambuco,Março,36
3882,2015,Pernambuco,Março,33
3883,2016,Pernambuco,Março,4
3884,2017,Pernambuco,Março,7
3885,1998,Pernambuco,Abril,0
3886,1999,Pernambuco,Abril,2
3887,2000,Pernambuco,Abril,1
3888,2001,Pernambuco,Abril,2
3889,2002,Pernambuco,Abril,5
3890,2003,Pernambuco,Abril,7
3891,2004,Pernambuco,Abril,5
3892,2005,Pernambuco,Abril,1
3893,2006,Pernambuco,Abril,2
3894,2007,Pernambuco,Abril,1
3895,2008,Pernambuco,Abril,5
3896,2009,Pernambuco,Abril,3
3897,2010,Pernambuco,Abril,2
3898,2011,Pernambuco,Abril,22
3899,2012,Pernambuco,Abril,46
3900,2013,Pernambuco,Abril,11
3901,2014,Pernambuco,Abril,10
3902,2015,Pernambuco,Abril,30
3903,2016,Pernambuco,Abril,8
3904,2017,Pernambuco,Abril,9
3905,1998,Pernambuco,Maio,0
3906,1999,Pernambuco,Maio,6
3907,2000,Pernambuco,Maio,7
3908,2001,Pernambuco,Maio,5
3909,2002,Pernambuco,Maio,13
3910,2003,Pernambuco,Maio,1
3911,2004,Pernambuco,Maio,2
3912,2005,Pernambuco,Maio,1
3913,2006,Pernambuco,Maio,1
3914,2007,Pernambuco,Maio,0
3915,2008,Pernambuco,Maio,0
3916,2009,Pernambuco,Maio,0
3917,2010,Pernambuco,Maio,8
3918,2011,Pernambuco,Maio,1
3919,2012,Pernambuco,Maio,36
3920,2013,Pernambuco,Maio,9
3921,2014,Pernambuco,Maio,4
3922,2015,Pernambuco,Maio,17
3923,2016,Pernambuco,Maio,6
3924,2017,Pernambuco,Maio,13
3925,1998,Pernambuco,Junho,1
3926,1999,Pernambuco,Junho,7
3927,2000,Pernambuco,Junho,4
3928,2001,Pernambuco,Junho,2
3929,2002,Pernambuco,Junho,1
